" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Mg-Ka Chi2" ," Mg-Ka Area" ," Mg-Ka AreaStd" ," Mg-Ka cps" ," Mg-Ka cpsStd" ," Al-Ka Chi2" ," Al-Ka Area" ," Al-Ka AreaStd" ," Al-Ka cps" ," Al-Ka cpsStd" ," Si-Ka Chi2" ," Si-Ka Area" ," Si-Ka AreaStd" ," Si-Ka cps" ," Si-Ka cpsStd" ," P -Ka Chi2" ," P -Ka Area" ," P -Ka AreaStd" ," P -Ka cps" ," P -Ka cpsStd" ," S -Ka Chi2" ," S -Ka Area" ," S -Ka AreaStd" ," S -Ka cps" ," S -Ka cpsStd" ," Cl-Ka Chi2" ," Cl-Ka Area" ," Cl-Ka AreaStd" ," Cl-Ka cps" ," Cl-Ka cpsStd" ," Ar-Ka Chi2" ," Ar-Ka Area" ," Ar-Ka AreaStd" ," Ar-Ka cps" ," Ar-Ka cpsStd" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Rh-La-Inc Chi2" ," Rh-La-Inc Area" ," Rh-La-Inc AreaStd" ," Rh-La-Inc cps" ," Rh-La-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Ba-La Chi2" ," Ba-La Area" ," Ba-La AreaStd" ," Ba-La cps" ," Ba-La cpsStd" 
MI18-L8-A!0!0!   2.0!2019-04-16!15-33-35!15!10!1500!2.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   2.0,2.0,15,18,XRay Tube Generator,7.48E+04,1.1,288,35,19.2,2.3,0.6,5198,80,346.5,5.3,6.5,79690,283,5312.69,18.88,0.8,1052,62,70.1,4.2,1.3,12475,138,831.7,9.2,1.0,3479,170,231.95,11.33,2.0,12961,195,864.05,13.01,6.0,16270,181,1084.69,12.07,2.3,65643,290,4376.19,19.32,2.6,7731,193,515.40,12.84,0.2,756,184,50.43,12.30,1.3,812,194,54.11,12.95,0.4,4396,213,293.07,14.17,1.7,170902,462,11393.43,30.80,4.2,3659,228,243.90,15.20,1.2,1679,208,111.90,13.90,1.3,439,197,29.26,13.10,1.2,-835,79,-55.7,5.3,1.5,66778,287,4451.89,19.12,1.8,981,138,65.4,9.2
MI18-L8-A!0!0!   4.0!2019-04-16!15-34-05!15!10!1500!4.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   4.0,4.0,15,19,XRay Tube Generator,1.18E+05,1.9,427,39,28.4,2.6,0.5,7477,95,498.5,6.3,8.7,133884,367,8925.60,24.44,1.8,3025,81,201.6,5.4,3.3,30737,198,2049.10,13.22,6.0,3120,195,208.03,13.00,1.8,3409,186,227.29,12.42,13.5,28815,220,1920.97,14.65,1.3,36011,247,2400.76,16.43,1.2,11202,224,746.78,14.94,0.7,667,215,44.50,14.31,0.4,850,227,56.69,15.15,0.5,9483,264,632.21,17.58,4.3,436784,698,29118.92,46.55,17.4,6716,286,447.73,19.05,0.3,1041,246,69.41,16.39,6.9,867,240,57.77,16.02,4.3,174,442,11.63,29.45,9.1,87163,328,5810.89,21.89,1.5,1220,160,81.31,10.70
MI18-L8-A!0!0!   6.0!2019-04-16!15-34-34!15!10!1500!6.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   6.0,6.0,15,19,XRay Tube Generator,1.09E+05,1.1,254,34,16.9,2.2,0.7,2680,63,178.7,4.2,5.2,56184,240,3745.57,16.02,0.8,616,58,41.1,3.9,7.9,15436,156,1029.09,10.41,3.9,3855,241,257.02,16.04,1.1,1725,280,115.01,18.65,8.9,21954,213,1463.58,14.21,1.2,22513,223,1500.87,14.85,1.3,11515,285,767.64,19.00,0.9,943,229,62.89,15.29,0.8,1577,231,105.16,15.43,0.3,10019,263,667.94,17.56,6.3,441050,709,29403.34,47.27,25.9,7015,278,467.66,18.54,0.5,982,229,65.50,15.24,1.3,1129,220,75.24,14.70,0.0,159,1,10.628,0.037,4.8,110086,400,7339.09,26.69,1.3,1484,212,98.93,14.16
MI18-L8-A!0!0!   8.0!2019-04-16!15-35-04!15!10!1500!8.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   8.0,8.0,15,19,XRay Tube Generator,1.20E+05,0.4,294,36,19.6,2.4,1.2,4283,76,285.5,5.1,7.1,74784,276,4985.61,18.42,2.1,1427,67,95.1,4.5,7.8,17020,161,1134.69,10.76,1.8,4742,251,316.17,16.73,1.8,1635,318,109.01,21.17,15.2,38569,250,2571.25,16.65,0.6,26363,233,1757.55,15.50,1.0,16094,313,1072.91,20.87,0.8,1391,235,92.75,15.69,0.3,1746,231,116.41,15.38,0.4,13824,271,921.61,18.04,4.4,543924,777,36261.62,51.78,27.8,7551,282,503.40,18.79,0.2,1027,225,68.46,14.99,1.4,1353,222,90.20,14.79,0.0,-113,1,-7.560,0.037,3.8,108049,409,7203.26,27.27,0.8,1293,230,86.23,15.35
MI18-L8-A!0!0!  10.0!2019-04-16!15-35-34!15!10!1500!10.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  10.0,10.0,15,20,XRay Tube Generator,1.28E+05,0.4,279,37,18.6,2.5,0.9,5405,85,360.3,5.7,7.0,80792,287,5386.13,19.16,0.9,1184,66,79.0,4.4,6.7,15732,157,1048.78,10.45,2.3,4723,252,314.90,16.81,1.4,368,318,24.54,21.19,13.9,53489,279,3565.96,18.59,2.3,32650,247,2176.67,16.49,0.7,22444,328,1496.28,21.86,0.6,1126,238,75.08,15.86,0.5,1909,230,127.29,15.35,0.5,16541,275,1102.72,18.34,5.7,611114,815,40740.96,54.31,28.8,7975,283,531.65,18.89,0.3,929,222,61.93,14.79,1.2,1105,220,73.65,14.68,0.0,-1072,1,-71.473,0.037,4.1,112889,416,7525.94,27.73,0.6,1541,234,102.77,15.63
MI18-L8-A!0!0!  12.0!2019-04-16!15-36-03!15!10!1500!12.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  12.0,12.0,15,20,XRay Tube Generator,1.24E+05,1.1,320,38,21.3,2.5,1.1,5588,86,372.5,5.7,6.2,81402,288,5426.80,19.21,2.2,847,63,56.5,4.2,5.6,16027,159,1068.45,10.59,2.4,4053,250,270.17,16.65,1.2,768,320,51.17,21.31,15.8,52868,278,3524.53,18.53,0.7,33784,250,2252.24,16.64,0.8,21670,325,1444.64,21.66,0.5,1475,237,98.30,15.80,0.3,1339,229,89.26,15.24,1.0,14590,270,972.70,18.03,5.9,571190,791,38079.32,52.76,25.2,8114,282,540.96,18.78,0.7,609,222,40.61,14.77,0.9,1041,220,69.41,14.68,0.0,-1135,1,-75.655,0.037,2.3,109851,412,7323.38,27.47,1.2,1321,233,88.09,15.50
MI18-L8-A!0!0!  14.0!2019-04-16!15-36-32!15!10!1500!14.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  14.0,14.0,15,19,XRay Tube Generator,1.22E+05,1.4,185,37,12.3,2.4,1.2,4519,79,301.3,5.3,5.8,70100,268,4673.36,17.84,1.2,712,61,47.5,4.0,9.8,14015,152,934.36,10.14,2.2,4454,212,296.91,14.10,1.4,584,198,38.93,13.18,13.3,50792,274,3386.16,18.28,0.8,34331,251,2288.71,16.72,0.6,24779,258,1651.92,17.17,0.3,1190,220,79.35,14.67,0.3,1343,225,89.54,15.01,0.7,10496,260,699.76,17.30,4.3,542770,759,36184.67,50.61,22.3,7603,277,506.86,18.49,0.8,529,223,35.25,14.86,1.5,1395,214,93.01,14.27,0.0,-2901,1,-193.396,0.037,4.3,116952,371,7796.81,24.76,0.8,2090,172,139.33,11.49
MI18-L8-A!0!0!  16.0!2019-04-16!15-37-02!15!10!1500!16.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  16.0,16.0,15,20,XRay Tube Generator,1.24E+05,0.6,338,35,22.5,2.4,2.3,5800,86,386.7,5.7,9.5,64374,257,4291.62,17.11,0.4,742,60,49.5,4.0,10.2,10919,140,728.0,9.4,2.1,4455,255,297.01,17.02,1.2,534,323,35.61,21.50,14.4,65434,301,4362.28,20.08,0.7,39642,263,2642.78,17.53,0.8,28078,341,1871.88,22.72,0.7,1362,241,90.82,16.07,0.4,1748,230,116.56,15.33,1.0,9369,259,624.61,17.28,5.6,567023,788,37801.54,52.53,28.7,8421,281,561.40,18.72,0.7,1483,221,98.85,14.74,1.1,1015,217,67.69,14.44,0.0,-2105,1,-140.366,0.037,5.6,112185,417,7479.03,27.81,1.2,1903,238,126.85,15.87
MI18-L8-A!0!0!  18.0!2019-04-16!15-37-31!15!10!1500!18.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  18.0,18.0,15,20,XRay Tube Generator,1.26E+05,0.5,294,37,19.6,2.5,0.6,6216,90,414.4,6.0,7.4,73470,275,4897.98,18.31,0.9,1447,68,96.5,4.6,4.4,13712,150,914.10,10.00,2.0,4869,254,324.60,16.92,2.1,826,320,55.09,21.35,13.3,54513,281,3634.22,18.74,1.4,33961,251,2264.08,16.70,0.4,21740,327,1449.32,21.81,0.4,1210,239,80.69,15.92,0.3,1333,231,88.88,15.39,1.3,8750,260,583.34,17.33,5.9,590156,803,39343.75,53.57,27.4,8227,286,548.49,19.10,0.4,624,225,41.59,14.98,1.4,1140,223,76.01,14.84,0.0,-18,1,-1.168,0.037,3.7,111316,415,7421.06,27.64,0.9,1197,235,79.81,15.64
MI18-L8-A!0!0!  20.0!2019-04-16!15-38-01!15!10!1500!20.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  20.0,20.0,15,20,XRay Tube Generator,1.26E+05,1.8,274,36,18.3,2.4,1.0,4836,80,322.4,5.3,7.9,65852,259,4390.11,17.30,0.9,901,62,60.0,4.1,6.8,14812,153,987.44,10.22,3.0,4556,209,303.73,13.95,1.1,1032,196,68.80,13.07,13.5,44702,262,2980.11,17.48,1.1,32561,247,2170.72,16.44,0.9,21090,250,1405.99,16.64,0.2,766,220,51.04,14.66,0.9,1854,229,123.59,15.25,0.5,9994,261,666.24,17.38,6.4,608688,798,40579.18,53.22,34.3,8917,283,594.45,18.85,0.5,1004,224,66.93,14.90,1.3,1098,214,73.23,14.30,0.0,57,1,3.795,0.037,3.4,113355,366,7556.99,24.40,1.0,1456,170,97.10,11.34
