" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Mg-Ka Chi2" ," Mg-Ka Area" ," Mg-Ka AreaStd" ," Mg-Ka cps" ," Mg-Ka cpsStd" ," Al-Ka Chi2" ," Al-Ka Area" ," Al-Ka AreaStd" ," Al-Ka cps" ," Al-Ka cpsStd" ," Si-Ka Chi2" ," Si-Ka Area" ," Si-Ka AreaStd" ," Si-Ka cps" ," Si-Ka cpsStd" ," P -Ka Chi2" ," P -Ka Area" ," P -Ka AreaStd" ," P -Ka cps" ," P -Ka cpsStd" ," S -Ka Chi2" ," S -Ka Area" ," S -Ka AreaStd" ," S -Ka cps" ," S -Ka cpsStd" ," Cl-Ka Chi2" ," Cl-Ka Area" ," Cl-Ka AreaStd" ," Cl-Ka cps" ," Cl-Ka cpsStd" ," Ar-Ka Chi2" ," Ar-Ka Area" ," Ar-Ka AreaStd" ," Ar-Ka cps" ," Ar-Ka cpsStd" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Rh-La-Inc Chi2" ," Rh-La-Inc Area" ," Rh-La-Inc AreaStd" ," Rh-La-Inc cps" ," Rh-La-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Ba-La Chi2" ," Ba-La Area" ," Ba-La AreaStd" ," Ba-La cps" ," Ba-La cpsStd" 
MI18-L8-B!0!0!   2.0!2019-04-17!09-54-42!15!10!1500!2.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   2.0,2.0,15,18,XRay Tube Generator,8.51E+04,0.9,192,31,12.8,2.0,0.3,1806,53,120.4,3.5,2.8,38467,200,2564.44,13.36,1.1,372,60,24.8,4.0,2.2,8564,128,571.0,8.6,1.7,5208,185,347.22,12.32,1.7,7502,185,500.10,12.33,9.4,4004,151,266.92,10.04,1.3,35275,248,2351.66,16.51,2.3,1839,219,122.61,14.59,1.0,826,232,55.07,15.47,2.0,-1451,250,-96.72,16.68,1.7,1376,270,91.71,17.99,1.6,25075,333,1671.68,22.21,3.1,3156,302,210.40,20.15,2.1,2485,299,165.65,19.94,2.0,2711,287,180.70,19.12,2.2,-3509,275,-233.93,18.31,1.2,70401,297,4693.41,19.82,2.3,982,166,65.44,11.07
MI18-L8-B!0!0!   4.0!2019-04-17!09-55-12!15!10!1500!4.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   4.0,4.0,15,19,XRay Tube Generator,1.09E+05,0.4,209,34,13.9,2.3,1.1,2830,64,188.7,4.3,4.1,72624,272,4841.57,18.13,1.7,1180,74,78.6,4.9,3.1,11093,162,739.55,10.82,0.8,3962,271,264.13,18.07,2.4,5430,380,362.02,25.34,9.7,19026,223,1268.42,14.85,0.7,14871,201,991.42,13.42,1.5,7663,294,510.87,19.58,0.7,1367,235,91.14,15.69,0.9,1072,235,71.48,15.67,0.8,4479,258,298.61,17.19,5.1,437361,716,29157.37,47.75,18.8,6433,289,428.90,19.29,0.5,459,244,30.58,16.27,2.0,1072,244,71.44,16.28,2.5,-2511,490,-167.40,32.65,1.5,85217,386,5681.11,25.72,1.3,1126,226,75.06,15.07
MI18-L8-B!0!0!   6.0!2019-04-17!09-55-42!15!10!1500!6.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   6.0,6.0,15,19,XRay Tube Generator,1.08E+05,1.6,155,34,10.3,2.3,0.6,3433,69,228.9,4.6,7.9,91498,304,6099.86,20.25,0.7,544,58,36.2,3.9,2.2,11220,137,748.0,9.1,2.4,3162,184,210.79,12.24,2.4,5974,189,398.26,12.59,11.6,22136,205,1475.72,13.67,0.8,16003,199,1066.83,13.24,0.7,9261,212,617.41,14.12,0.6,1208,207,80.54,13.81,0.3,1682,220,112.16,14.65,0.5,5912,243,394.16,16.20,5.4,523955,743,34930.32,49.54,22.4,6985,266,465.66,17.75,0.4,629,215,41.96,14.36,2.5,981,208,65.43,13.87,2.2,-186,164,-12.37,10.93,1.9,81098,314,5406.55,20.91,0.7,1015,153,67.67,10.18
MI18-L8-B!0!0!   8.0!2019-04-17!09-56-12!15!10!1500!8.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,   8.0,8.0,15,19,XRay Tube Generator,1.16E+05,1.0,233,34,15.5,2.3,1.6,3489,70,232.6,4.7,5.8,82645,290,5509.64,19.32,1.7,566,61,37.7,4.1,2.6,9913,133,660.9,8.9,2.4,3162,218,210.77,14.51,3.3,4673,298,311.52,19.85,10.7,21663,205,1444.19,13.66,0.7,17349,202,1156.63,13.45,0.9,8627,283,575.14,18.86,0.3,915,224,61.01,14.93,0.8,1288,224,85.90,14.94,0.5,6372,248,424.78,16.56,7.7,630321,820,42021.41,54.68,31.5,7741,276,516.06,18.41,0.4,477,213,31.80,14.19,1.0,1057,216,70.45,14.43,0.0,-218,1,-14.538,0.037,1.7,82429,357,5495.24,23.77,0.7,1239,216,82.60,14.37
MI18-L8-B!0!0!  10.0!2019-04-17!09-56-42!15!10!1500!10.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  10.0,10.0,15,19,XRay Tube Generator,1.03E+05,0.8,257,34,17.1,2.3,0.4,3807,72,253.8,4.8,7.9,82981,290,5532.07,19.35,2.4,483,59,32.2,3.9,2.0,10767,138,717.8,9.2,2.0,3201,218,213.39,14.52,1.2,3926,293,261.75,19.55,11.3,28046,221,1869.73,14.72,0.5,19250,207,1283.36,13.82,1.2,11779,287,785.29,19.14,0.6,1346,222,89.71,14.83,0.3,1499,220,99.90,14.69,0.3,5856,243,390.37,16.20,4.5,459448,717,30629.88,47.78,22.7,6357,265,423.83,17.69,0.6,588,215,39.19,14.36,2.2,1199,218,79.96,14.53,0.0,-200,1,-13.366,0.037,2.1,81891,356,5459.43,23.72,0.9,1138,214,75.85,14.28
MI18-L8-B!0!0!  12.0!2019-04-17!09-57-14!15!10!1500!12.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  12.0,12.0,15,18,XRay Tube Generator,9.34E+04,0.5,212,33,14.1,2.2,1.2,3749,70,249.9,4.7,6.7,92391,305,6159.38,20.32,1.7,454,58,30.3,3.9,1.5,14203,149,946.9,9.9,1.1,2767,203,184.48,13.55,2.4,4281,255,285.41,17.01,12.4,21861,202,1457.37,13.49,0.7,16783,197,1118.86,13.14,1.6,9358,262,623.87,17.46,1.3,1013,214,67.51,14.24,0.7,1024,215,68.27,14.36,0.7,5441,237,362.74,15.83,3.5,357109,641,23807.24,42.72,18.0,5281,255,352.09,17.00,0.3,668,215,44.57,14.36,2.2,1057,218,70.49,14.55,0.0,-78,1,-5.228,0.037,1.9,78087,338,5205.83,22.56,1.7,1203,196,80.19,13.07
MI18-L8-B!0!0!  14.0!2019-04-17!09-57-44!15!10!1500!14.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  14.0,14.0,15,18,XRay Tube Generator,9.19E+04,1.1,241,34,16.1,2.2,0.8,4054,72,270.2,4.8,6.9,88652,298,5910.12,19.90,0.5,483,57,32.2,3.8,2.5,11460,139,764.0,9.3,2.6,2947,186,196.45,12.42,1.8,3369,193,224.62,12.86,9.1,23409,207,1560.58,13.77,0.3,17991,201,1199.40,13.40,0.7,10603,221,706.87,14.76,0.8,633,203,42.22,13.52,0.6,760,212,50.69,14.16,0.5,4969,236,331.24,15.75,2.7,351223,631,23414.86,42.09,11.6,4052,254,270.16,16.94,0.7,-832,216,-55.45,14.37,1.0,261,209,17.37,13.90,2.0,17145,779,1142.99,51.92,2.7,76401,313,5093.37,20.88,0.5,581,161,38.76,10.76
MI18-L8-B!0!0!  16.0!2019-04-17!09-58-14!15!10!1500!16.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  16.0,16.0,15,18,XRay Tube Generator,8.83E+04,0.4,223,33,14.9,2.2,1.4,2897,64,193.2,4.2,7.1,69534,266,4635.59,17.70,1.0,665,59,44.4,3.9,2.9,8406,126,560.4,8.4,2.0,2732,212,182.15,14.14,2.0,3840,289,255.98,19.27,8.7,19304,197,1286.94,13.11,0.7,17013,197,1134.21,13.16,1.3,8768,274,584.52,18.26,0.7,1320,214,87.99,14.28,0.8,1539,213,102.61,14.21,0.4,6171,235,411.40,15.66,3.6,340570,631,22704.68,42.04,19.1,5047,250,336.49,16.68,0.7,480,211,31.99,14.04,1.2,796,210,53.10,14.03,0.0,33,1,2.179,0.037,2.8,77015,346,5134.35,23.07,1.2,1351,208,90.04,13.84
MI18-L8-B!0!0!  18.0!2019-04-17!09-58-43!15!10!1500!18.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  18.0,18.0,15,18,XRay Tube Generator,7.76E+04,0.5,210,31,14.0,2.1,0.6,1576,50,105.1,3.3,4.4,42221,208,2814.72,13.89,0.8,333,53,22.2,3.5,0.3,7150,155,476.64,10.35,1.9,34884,330,2325.62,21.99,2.2,4306,280,287.04,18.64,7.5,11437,170,762.46,11.33,0.7,12782,182,852.12,12.10,1.0,5828,256,388.54,17.09,1.0,847,204,56.49,13.63,0.9,1046,206,69.70,13.75,0.6,4912,224,327.48,14.95,2.4,253716,558,16914.37,37.18,13.7,3952,238,263.45,15.89,0.7,639,206,42.57,13.76,0.6,1181,201,78.72,13.37,2.8,-900,124,-60.0,8.2,3.6,74116,379,4941.08,25.28,0.9,835,197,55.65,13.15
MI18-L8-B!0!0!  20.0!2019-04-17!09-59-15!15!10!1500!20.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe,  20.0,20.0,15,18,XRay Tube Generator,8.62E+04,0.5,254,32,16.9,2.1,1.4,2414,59,160.9,3.9,5.5,60498,248,4033.21,16.54,0.4,896,69,59.7,4.6,3.0,7723,145,514.8,9.7,2.6,29603,335,1973.55,22.36,1.8,4008,353,267.18,23.51,7.4,15628,224,1041.88,14.94,0.7,15522,197,1034.80,13.13,1.3,7011,269,467.40,17.94,0.9,1161,214,77.37,14.24,0.8,1099,213,73.28,14.19,0.7,6834,236,455.61,15.73,3.1,299057,600,19937.17,39.97,16.9,4845,250,323.02,16.66,0.4,531,212,35.37,14.15,1.6,1215,209,80.98,13.96,3.1,-2806,467,-187.09,31.12,5.0,78191,404,5212.75,26.96,1.3,877,206,58.46,13.74
