" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Mg-Ka Chi2" ," Mg-Ka Area" ," Mg-Ka AreaStd" ," Mg-Ka cps" ," Mg-Ka cpsStd" ," Al-Ka Chi2" ," Al-Ka Area" ," Al-Ka AreaStd" ," Al-Ka cps" ," Al-Ka cpsStd" ," Si-Ka Chi2" ," Si-Ka Area" ," Si-Ka AreaStd" ," Si-Ka cps" ," Si-Ka cpsStd" ," P -Ka Chi2" ," P -Ka Area" ," P -Ka AreaStd" ," P -Ka cps" ," P -Ka cpsStd" ," S -Ka Chi2" ," S -Ka Area" ," S -Ka AreaStd" ," S -Ka cps" ," S -Ka cpsStd" ," Cl-Ka Chi2" ," Cl-Ka Area" ," Cl-Ka AreaStd" ," Cl-Ka cps" ," Cl-Ka cpsStd" ," Ar-Ka Chi2" ," Ar-Ka Area" ," Ar-Ka AreaStd" ," Ar-Ka cps" ," Ar-Ka cpsStd" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Rh-La-Inc Chi2" ," Rh-La-Inc Area" ," Rh-La-Inc AreaStd" ," Rh-La-Inc cps" ," Rh-La-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Ba-La Chi2" ," Ba-La Area" ," Ba-La AreaStd" ," Ba-La cps" ," Ba-La cpsStd" 
ZUG18-7!0!0!  50.0!2019-02-20!09-54-32!30!10!1500!50.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  50.0,50.0,30,44,XRay Tube Generator,1.75E+05,0.4,45,64,1.5,2.1,1.0,3059,86,102.0,2.9,4.4,75446,289,2514.9,9.6,1.0,655,109,21.8,3.6,16.6,21259,231,708.6,7.7,1.7,19747,590,658.25,19.66,3.1,7501,1357,250.05,45.23,28.0,14114,338,470.48,11.27,9.4,433453,763,14448.44,25.43,0.4,5562,597,185.40,19.89,1.3,-2443,486,-81.44,16.19,3.5,-2674,661,-89.13,22.03,1.2,6317,515,210.56,17.17,3.8,63739,870,2124.63,28.99,2.2,6630,541,221.00,18.05,2.0,3705,556,123.49,18.52,5.5,10302,515,343.38,17.15,2.0,33716,1853,1123.88,61.77,2.0,419238,1654,13974.60,55.14,1.3,11755,483,391.82,16.11
ZUG18-7!0!0!  52.0!2019-02-20!09-55-32!30!10!1500!52.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  52.0,52.0,30,50,XRay Tube Generator,2.46E+05,0.3,293,73,9.8,2.4,1.2,7327,117,244.2,3.9,19.5,133092,379,4436.40,12.62,3.1,2161,147,72.0,4.9,45.7,50868,306,1695.61,10.21,5.3,16271,442,542.35,14.72,8.8,18762,460,625.41,15.33,27.4,45211,397,1507.05,13.22,71.9,2028344,1425,67611.48,47.52,0.5,13791,460,459.71,15.32,0.8,-626,445,-20.85,14.84,1.0,2760,472,92.00,15.72,0.4,9830,500,327.67,16.67,5.4,259920,748,8664.00,24.93,2.3,4687,527,156.25,17.56,3.2,1130,538,37.68,17.94,4.1,7236,490,241.21,16.35,25.1,4021,687,134.03,22.89,3.3,438937,751,14631.25,25.04,0.5,9005,351,300.18,11.69
ZUG18-7!0!0!  54.0!2019-02-20!09-56-35!30!10!1500!54.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  54.0,54.0,30,54,XRay Tube Generator,2.88E+05,0.7,250,77,8.3,2.6,2.2,10347,133,344.9,4.4,33.2,176679,433,5889.32,14.45,3.6,3064,162,102.1,5.4,3.1,73077,480,2435.91,16.00,1.8,17569,524,585.65,17.46,4.7,17057,695,568.57,23.17,29.9,61286,423,2042.88,14.10,127.5,3062781,1726,102092.69,57.52,0.6,16726,580,557.53,19.34,1.2,-366,462,-12.18,15.39,0.7,4271,469,142.35,15.63,0.7,11589,492,386.29,16.41,5.6,351538,832,11717.93,27.73,3.5,4287,522,142.89,17.39,5.2,549,635,18.31,21.15,3.1,6090,477,203.01,15.91,1.8,-6005,346,-200.15,11.52,1.6,426932,824,14231.06,27.46,0.5,8909,457,296.96,15.23
ZUG18-7!0!0!  56.0!2019-02-20!09-57-31!30!10!1500!56.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  56.0,56.0,30,47,XRay Tube Generator,2.16E+05,1.1,199,70,6.6,2.3,2.8,4845,102,161.5,3.4,26.9,101123,332,3370.77,11.08,3.2,1153,134,38.4,4.5,1.0,33275,351,1109.16,11.69,2.1,18449,517,614.98,17.24,8.8,32448,682,1081.60,22.73,29.0,33224,372,1107.47,12.41,57.2,1527625,1259,50920.85,41.95,1.1,12495,567,416.52,18.90,0.5,1074,462,35.79,15.39,1.2,4093,480,136.43,16.00,0.2,11509,493,383.62,16.44,4.9,296313,843,9877.10,28.10,7.0,6639,513,221.30,17.11,4.0,1262,582,42.07,19.41,3.5,7265,465,242.16,15.50,1.7,-5720,276,-190.7,9.2,1.9,419376,812,13979.22,27.06,1.0,4146,448,138.19,14.93
ZUG18-7!0!0!  58.0!2019-02-20!09-58-31!30!10!1500!58.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  58.0,58.0,30,49,XRay Tube Generator,2.42E+05,0.6,203,73,6.8,2.4,1.2,7133,116,237.8,3.9,33.5,129557,373,4318.57,12.44,2.3,2302,146,76.7,4.9,2.6,40330,370,1344.35,12.33,1.9,18933,505,631.11,16.85,7.3,33600,683,1120.00,22.75,30.6,58927,411,1964.22,13.69,86.9,2164003,1468,72133.43,48.94,0.6,19478,560,649.27,18.67,0.5,1177,450,39.23,14.99,1.7,4692,462,156.40,15.38,0.8,13425,481,447.49,16.02,5.4,398064,862,13268.81,28.75,8.8,6779,506,225.97,16.86,3.1,947,586,31.56,19.52,2.1,6631,453,221.03,15.11,1.8,-5085,284,-169.5,9.5,2.0,411478,801,13715.95,26.71,0.9,2818,437,93.94,14.55
ZUG18-7!0!0!  60.0!2019-02-20!09-59-33!30!10!1500!60.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  60.0,60.0,30,50,XRay Tube Generator,2.55E+05,0.7,283,75,9.4,2.5,3.1,7822,121,260.7,4.0,25.7,140052,389,4668.40,12.95,3.0,2643,176,88.1,5.9,39.6,39835,341,1327.84,11.38,2.0,88233,696,2941.11,23.21,4.5,29930,872,997.66,29.06,25.9,53898,449,1796.58,14.98,94.6,2475856,1561,82528.54,52.04,0.8,15794,550,526.48,18.33,0.9,628,444,20.92,14.80,1.7,4250,457,141.68,15.23,0.4,11904,477,396.79,15.90,5.2,345946,830,11531.54,27.67,4.0,5529,500,184.29,16.66,3.3,560,587,18.68,19.55,1.7,5449,449,181.63,14.96,12.9,-10289,1133,-342.97,37.76,3.9,423132,902,14104.39,30.06,1.1,3148,431,104.94,14.38
ZUG18-7!0!0!  62.0!2019-02-20!10-00-33!30!10!1500!62.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  62.0,62.0,30,51,XRay Tube Generator,2.62E+05,1.1,591,77,19.7,2.6,2.7,11253,137,375.1,4.6,31.8,179594,437,5986.48,14.56,3.1,2676,156,89.2,5.2,3.2,45621,343,1520.71,11.45,2.9,57630,568,1921.01,18.95,4.1,20732,675,691.07,22.51,28.8,74559,432,2485.30,14.41,104.2,2582923,1591,86097.44,53.04,0.6,22173,556,739.09,18.55,1.1,2021,446,67.37,14.88,2.4,5705,458,190.15,15.25,0.8,12971,479,432.37,15.96,5.6,397594,857,13253.13,28.56,6.5,6234,505,207.81,16.83,3.4,454,592,15.12,19.73,2.1,6014,450,200.46,15.00,2.5,-4840,244,-161.3,8.1,2.7,419180,829,13972.66,27.63,0.6,3379,432,112.65,14.41
ZUG18-7!0!0!  64.0!2019-02-20!10-01-33!30!10!1500!64.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  64.0,64.0,30,51,XRay Tube Generator,2.62E+05,1.0,585,77,19.5,2.6,2.8,13465,145,448.8,4.8,37.8,200320,459,6677.35,15.31,2.8,2836,156,94.5,5.2,2.8,42518,361,1417.28,12.03,4.5,19138,504,637.94,16.78,3.9,18365,667,612.16,22.22,22.3,85145,445,2838.17,14.85,98.0,2575266,1589,85842.19,52.98,0.9,25666,560,855.52,18.67,0.9,1533,445,51.09,14.84,2.2,5856,458,195.20,15.27,0.8,13328,476,444.27,15.86,7.8,415732,860,13857.74,28.67,7.4,6024,503,200.81,16.77,3.8,33,592,1.11,19.72,2.4,5886,450,196.21,14.99,2.2,-4191,271,-139.7,9.0,2.2,418161,807,13938.70,26.89,1.3,3365,432,112.18,14.41
ZUG18-7!0!0!  66.0!2019-02-20!10-02-33!30!10!1500!66.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  66.0,66.0,30,50,XRay Tube Generator,2.56E+05,0.2,415,74,13.8,2.5,2.9,8139,122,271.3,4.1,31.8,146852,397,4895.06,13.23,3.3,2510,153,83.7,5.1,2.7,42634,374,1421.12,12.46,2.2,18185,506,606.15,16.86,5.0,21873,669,729.10,22.29,27.9,55340,405,1844.65,13.50,101.4,2566877,1585,85562.58,52.83,1.6,17533,549,584.44,18.30,1.5,954,442,31.81,14.72,2.3,4376,455,145.88,15.15,1.3,10860,473,361.99,15.77,5.4,395420,848,13180.67,28.26,6.7,6051,501,201.69,16.69,3.3,-37,588,-1.23,19.60,1.8,5684,447,189.46,14.91,2.0,-4537,282,-151.2,9.4,3.1,419600,808,13986.66,26.95,1.7,3570,429,118.99,14.30
ZUG18-7!0!0!  68.0!2019-02-20!10-03-33!30!10!1500!68.0!0.0!No-Filter!2.0!12.0!Run1!Rep0!Sett Low.spe,  68.0,68.0,30,50,XRay Tube Generator,2.55E+05,0.5,199,74,6.6,2.5,3.2,7644,119,254.8,4.0,25.5,147983,398,4932.77,13.25,5.2,2385,155,79.5,5.2,34.4,32804,272,1093.5,9.1,1.7,15709,493,523.62,16.42,5.2,21045,673,701.50,22.45,22.2,51595,398,1719.83,13.26,112.3,2720673,1627,90689.10,54.22,1.1,16947,545,564.90,18.15,1.2,1035,436,34.49,14.53,1.0,5066,444,168.88,14.81,0.4,9431,464,314.37,15.48,7.5,309776,786,10325.85,26.20,4.8,4518,491,150.58,16.36,4.7,645,591,21.50,19.70,2.7,6449,444,214.98,14.81,0.0,2381,1,79.367,0.018,0.9,407669,802,13588.95,26.75,0.8,2742,426,91.39,14.20
