" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Sc-Ka Chi2" ," Sc-Ka Area" ," Sc-Ka AreaStd" ," Sc-Ka cps" ," Sc-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Zn-Ka Chi2" ," Zn-Ka Area" ," Zn-Ka AreaStd" ," Zn-Ka cps" ," Zn-Ka cpsStd" ," Ga-Ka Chi2" ," Ga-Ka Area" ," Ga-Ka AreaStd" ," Ga-Ka cps" ," Ga-Ka cpsStd" ," As-Ka Chi2" ," As-Ka Area" ," As-Ka AreaStd" ," As-Ka cps" ," As-Ka cpsStd" ," Br-Ka Chi2" ," Br-Ka Area" ," Br-Ka AreaStd" ," Br-Ka cps" ," Br-Ka cpsStd" ," Rb-Ka Chi2" ," Rb-Ka Area" ," Rb-Ka AreaStd" ," Rb-Ka cps" ," Rb-Ka cpsStd" ," Sr-Ka Chi2" ," Sr-Ka Area" ," Sr-Ka AreaStd" ," Sr-Ka cps" ," Sr-Ka cpsStd" ," Y -Ka Chi2" ," Y -Ka Area" ," Y -Ka AreaStd" ," Y -Ka cps" ," Y -Ka cpsStd" ," Zr-Ka Chi2" ," Zr-Ka Area" ," Zr-Ka AreaStd" ," Zr-Ka cps" ," Zr-Ka cpsStd" ," Mo-Ka Chi2" ," Mo-Ka Area" ," Mo-Ka AreaStd" ," Mo-Ka cps" ," Mo-Ka cpsStd" ," Rh-Ka-Coh Chi2" ," Rh-Ka-Coh Area" ," Rh-Ka-Coh AreaStd" ," Rh-Ka-Coh cps" ," Rh-Ka-Coh cpsStd" ," Rh-Ka-Inc Chi2" ," Rh-Ka-Inc Area" ," Rh-Ka-Inc AreaStd" ," Rh-Ka-Inc cps" ," Rh-Ka-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Hg-La Chi2" ," Hg-La Area" ," Hg-La AreaStd" ," Hg-La cps" ," Hg-La cpsStd" ," Pb-La Chi2" ," Pb-La Area" ," Pb-La AreaStd" ," Pb-La cps" ," Pb-La cpsStd" ," U -La Chi2" ," U -La Area" ," U -La AreaStd" ," U -La cps" ," U -La cpsStd" 
ZUG18-7!0!0!  50.0!2019-02-20!17-46-53!30!30!1500!50.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  50.0,50.0,30,37,XRay Tube Generator,5.29E+04,1.1,90,38,3.0,1.3,2.8,3999,72,133.3,2.4,1.4,77,35,2.6,1.2,1.1,352,35,11.7,1.2,3.3,133,32,4.4,1.1,0.2,73,31,2.4,1.0,0.4,152,33,5.1,1.1,1.1,4483,74,149.4,2.5,0.7,57,33,1.9,1.1,1.1,7125,89,237.5,3.0,1.4,517,39,17.2,1.3,0.7,383,37,12.8,1.2,0.5,75,32,2.5,1.1,0.7,157,64,5.2,2.1,0.7,24,42,0.8,1.4,0.3,50,61,1.7,2.0,0.6,1043,89,34.8,3.0,0.4,121,122,4.0,4.1,0.5,792,167,26.4,5.6,0.6,633,275,21.1,9.2,0.9,32457,488,1081.91,16.27,1.6,152561,898,5085.37,29.92,0.0,708,924,23.60,30.79,0.6,44,32,1.5,1.1,0.7,176,55,5.9,1.8,0.4,175,67,5.8,2.2
ZUG18-7!0!0!  52.0!2019-02-20!17-47-39!30!30!1500!52.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  52.0,52.0,30,37,XRay Tube Generator,5.28E+04,0.8,246,42,8.2,1.4,3.9,18949,139,631.6,4.6,5.5,195,44,6.5,1.5,2.1,480,37,16.0,1.2,2.6,121,33,4.0,1.1,0.5,22,31,0.7,1.0,0.5,484,38,16.1,1.3,2.2,19390,139,646.3,4.6,1.4,206,40,6.9,1.3,0.8,7146,90,238.2,3.0,0.4,541,40,18.0,1.3,0.7,1205,47,40.2,1.6,0.3,81,31,2.7,1.0,0.6,138,65,4.6,2.2,0.3,138,44,4.6,1.5,0.5,316,62,10.5,2.1,0.9,2170,96,72.3,3.2,0.4,120,117,4.0,3.9,0.6,815,164,27.2,5.5,0.4,835,272,27.8,9.1,1.6,33420,475,1113.99,15.82,1.6,147438,881,4914.60,29.37,0.0,783,968,26.10,32.28,0.8,32,33,1.1,1.1,0.6,317,56,10.6,1.9,0.9,176,66,5.9,2.2
ZUG18-7!0!0!  54.0!2019-02-20!17-48-25!30!30!1500!54.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  54.0,54.0,30,36,XRay Tube Generator,4.93E+04,0.6,286,41,9.5,1.4,4.7,23542,153,784.7,5.1,8.3,294,47,9.8,1.6,0.5,415,36,13.8,1.2,1.2,111,31,3.7,1.0,0.7,72,30,2.4,1.0,1.1,661,40,22.0,1.3,1.5,26135,159,871.2,5.3,2.7,266,43,8.9,1.4,2.1,6932,88,231.1,2.9,1.3,569,40,19.0,1.3,0.4,1566,51,52.2,1.7,1.1,89,32,3.0,1.1,0.9,183,65,6.1,2.2,0.9,201,45,6.7,1.5,0.4,588,63,19.6,2.1,0.4,4027,104,134.2,3.5,0.3,258,113,8.6,3.8,0.3,890,160,29.7,5.3,0.8,671,262,22.4,8.7,1.3,32229,457,1074.31,15.23,1.1,133493,849,4449.77,28.29,0.0,1197,907,39.90,30.22,1.1,35,34,1.2,1.1,0.9,372,57,12.4,1.9,0.6,121,66,4.0,2.2
ZUG18-7!0!0!  56.0!2019-02-20!17-49-11!30!30!1500!56.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  56.0,56.0,30,35,XRay Tube Generator,3.86E+04,0.2,319,37,10.6,1.2,5.9,19136,138,637.9,4.6,7.8,220,42,7.3,1.4,0.8,311,33,10.4,1.1,0.5,71,27,2.37,0.91,0.3,70,27,2.33,0.91,1.5,688,39,22.9,1.3,2.7,34122,180,1137.4,6.0,5.5,333,43,11.1,1.4,1.8,6183,83,206.1,2.8,0.5,569,38,19.0,1.3,0.4,1500,48,50.0,1.6,0.5,81,29,2.69,0.97,0.9,137,61,4.6,2.0,0.6,332,44,11.1,1.5,0.7,1264,65,42.1,2.2,1.1,7183,113,239.4,3.8,0.5,407,100,13.6,3.3,0.5,1462,143,48.7,4.8,0.5,300,223,10.0,7.4,1.0,28186,402,939.53,13.39,1.4,97882,733,3262.72,24.42,0.0,740,840,24.67,28.00,0.4,27,30,0.9,1.0,0.9,415,52,13.8,1.7,0.7,180,58,6.0,1.9
ZUG18-7!0!0!  58.0!2019-02-20!17-49-56!30!30!1500!58.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  58.0,58.0,30,34,XRay Tube Generator,3.68E+04,0.6,344,38,11.5,1.3,4.2,22724,149,757.5,5.0,6.4,172,42,5.7,1.4,0.6,433,33,14.4,1.1,0.5,48,27,1.59,0.91,1.0,101,27,3.38,0.91,0.7,770,39,25.7,1.3,2.0,37449,188,1248.3,6.3,6.6,415,44,13.8,1.5,0.6,5879,81,196.0,2.7,0.5,557,37,18.6,1.2,0.6,1328,45,44.3,1.5,0.5,128,29,4.26,0.96,0.6,201,61,6.7,2.0,0.9,403,43,13.4,1.4,0.3,1417,64,47.2,2.1,0.9,7298,111,243.3,3.7,0.5,379,97,12.6,3.2,0.4,1561,140,52.0,4.7,0.4,579,216,19.3,7.2,1.2,27126,390,904.21,13.02,1.2,90573,704,3019.08,23.45,0.0,1162,835,38.73,27.83,0.9,88,30,2.9,1.0,0.6,490,52,16.3,1.7,0.4,119,56,4.0,1.9
ZUG18-7!0!0!  60.0!2019-02-20!17-50-42!30!30!1500!60.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  60.0,60.0,30,34,XRay Tube Generator,3.59E+04,0.7,405,37,13.5,1.2,2.7,23427,151,780.9,5.0,6.5,210,44,7.0,1.5,1.2,307,33,10.2,1.1,0.4,60,27,2.01,0.91,0.8,70,27,2.34,0.89,0.6,669,37,22.3,1.2,2.3,32580,175,1086.0,5.8,4.4,406,42,13.5,1.4,1.0,5849,80,195.0,2.7,1.2,599,36,20.0,1.2,1.2,1172,44,39.1,1.5,0.9,48,27,1.59,0.90,0.8,176,60,5.9,2.0,0.9,465,43,15.5,1.4,0.8,1088,61,36.3,2.0,0.9,7484,112,249.5,3.7,0.6,710,96,23.7,3.2,0.6,1609,137,53.6,4.6,0.3,616,215,20.5,7.2,0.8,27625,387,920.84,12.92,0.8,89169,700,2972.30,23.32,0.0,1005,784,33.51,26.13,1.2,37,29,1.25,0.97,0.8,481,51,16.0,1.7,0.6,87,56,2.9,1.9
ZUG18-7!0!0!  62.0!2019-02-20!17-51-28!30!30!1500!62.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  62.0,62.0,30,34,XRay Tube Generator,3.58E+04,0.8,477,39,15.9,1.3,4.7,23311,151,777.0,5.0,7.4,288,43,9.6,1.4,0.7,437,33,14.6,1.1,1.1,22,26,0.72,0.86,0.5,82,26,2.73,0.87,0.3,733,39,24.4,1.3,2.3,36754,186,1225.1,6.2,6.5,379,44,12.6,1.5,0.8,5882,80,196.1,2.7,0.9,721,38,24.0,1.3,0.3,1183,44,39.4,1.5,0.4,47,28,1.58,0.92,1.3,37,62,1.2,2.1,0.8,381,43,12.7,1.4,0.8,1271,63,42.4,2.1,1.3,8411,117,280.4,3.9,0.7,402,96,13.4,3.2,1.0,1570,137,52.3,4.6,0.4,325,214,10.8,7.1,1.7,26982,386,899.40,12.88,1.1,87917,697,2930.58,23.22,0.0,213,803,7.09,26.76,0.8,68,30,2.3,1.0,1.3,702,54,23.4,1.8,0.8,193,57,6.4,1.9
ZUG18-7!0!0!  64.0!2019-02-20!17-52-13!30!30!1500!64.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  64.0,64.0,30,34,XRay Tube Generator,3.56E+04,0.7,446,38,14.9,1.3,3.6,21807,146,726.9,4.9,7.4,225,42,7.5,1.4,0.4,410,33,13.7,1.1,0.7,100,26,3.33,0.86,0.5,83,26,2.75,0.87,0.3,674,38,22.5,1.3,3.5,38858,191,1295.3,6.4,6.6,531,46,17.7,1.5,1.2,5853,80,195.1,2.7,0.7,551,37,18.4,1.2,0.9,1264,45,42.1,1.5,0.9,94,28,3.12,0.94,0.9,142,65,4.7,2.2,0.5,374,42,12.5,1.4,1.1,1314,65,43.8,2.2,0.8,8796,119,293.2,4.0,0.4,421,97,14.0,3.2,0.5,1866,139,62.2,4.6,0.3,292,213,9.7,7.1,1.4,26491,383,883.02,12.77,0.8,86295,689,2876.51,22.96,0.0,2463,773,82.09,25.76,0.5,24,29,0.79,0.95,0.9,640,55,21.3,1.8,1.0,66,57,2.2,1.9
ZUG18-7!0!0!  66.0!2019-02-20!17-52-59!30!30!1500!66.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  66.0,66.0,30,34,XRay Tube Generator,3.44E+04,0.2,345,36,11.5,1.2,4.1,23298,151,776.6,5.0,8.0,223,42,7.4,1.4,0.6,333,31,11.1,1.0,0.4,61,26,2.04,0.87,0.4,88,26,2.94,0.87,0.6,615,37,20.5,1.2,2.7,36298,184,1209.9,6.1,5.6,445,43,14.8,1.4,1.1,5902,80,196.7,2.7,0.8,583,36,19.4,1.2,0.2,1415,47,47.2,1.6,0.5,20,27,0.67,0.90,1.4,23,66,0.8,2.2,0.5,446,44,14.9,1.5,0.5,1063,62,35.4,2.1,0.7,9594,122,319.8,4.1,0.7,488,94,16.3,3.1,0.6,1499,136,50.0,4.5,0.6,459,210,15.3,7.0,1.1,27004,376,900.13,12.54,1.1,84281,680,2809.36,22.66,0.0,1098,766,36.61,25.53,0.4,26,30,0.88,1.00,1.4,820,57,27.3,1.9,0.5,156,57,5.2,1.9
ZUG18-7!0!0!  68.0!2019-02-20!17-53-44!30!30!1500!68.0!0.0!Pd-Thin!2.0!12.0!Run2!Rep0!Sett Middle.axml,  68.0,68.0,30,34,XRay Tube Generator,3.31E+04,0.7,343,36,11.4,1.2,5.3,23728,152,790.9,5.1,11.6,240,43,8.0,1.4,0.8,322,31,10.7,1.0,0.5,103,26,3.42,0.88,0.1,79,26,2.63,0.87,1.2,582,36,19.4,1.2,3.3,28473,164,949.1,5.5,6.7,354,41,11.8,1.4,1.3,5702,79,190.1,2.6,0.8,536,35,17.9,1.2,1.0,1648,49,54.9,1.6,1.0,43,27,1.42,0.89,0.7,67,68,2.2,2.3,0.5,255,42,8.5,1.4,0.3,1082,60,36.1,2.0,1.1,10800,126,360.0,4.2,0.6,339,93,11.3,3.1,0.9,1390,135,46.3,4.5,0.5,622,206,20.7,6.9,1.4,26200,372,873.34,12.40,1.2,80612,666,2687.07,22.19,0.0,1046,776,34.88,25.88,0.9,77,31,2.6,1.0,0.7,991,58,33.0,1.9,0.5,120,55,4.0,1.8
